vertex_index,distance,angle,elev,x,y,Velocity,relief
252,833.69030588217652,339.97820718099530,4601.003,-1484213.600,785246.825,154.654,29.212
253,836.31443020460847,332.77745635803649,4601.856,-1484214.498,785249.290,154.654,31.077
254,838.89845858833723,325.57670553720709,4601.856,-1484215.959,785251.422,154.654,31.077
255,841.48248697193435,315.40636240795527,4601.856,-1484217.420,785253.553,154.654,31.077
256,846.42727529309900,308.67273500738770,4601.400,-1484221.459,785256.406,154.654,30.471
257,849.63791479814677,312.10945073680813,4602.541,-1484223.841,785258.559,154.654,31.619
258,852.84855430336700,311.99828587459774,4602.541,-1484226.222,785260.712,154.654,31.619
259,855.61548293543422,311.88712101217095,4602.541,-1484228.282,785262.559,154.654,31.619
260,858.38241156767458,318.38634775076758,4601.849,-1484230.342,785264.407,154.654,31.247
261,862.32791552983019,334.29875881555637,4603.666,-1484232.612,785267.634,154.654,31.752
262,864.99707539422525,343.71194313809082,4603.666,-1484233.360,785270.196,154.654,31.752
263,867.66623525879743,351.94838152321086,4602.712,-1484234.109,785272.758,154.654,31.507
264,872.46483587428156,0.18481991037922,4602.712,-1484234.093,785277.557,154.654,31.507
265,877.26343648976592,2.26869635950067,4601.984,-1484234.078,785282.355,154.654,30.376
266,880.99329720928779,4.35257280683898,4601.984,-1484233.795,785286.074,154.654,30.376
267,884.72315792879215,357.85832035909948,4601.983,-1484233.512,785289.794,154.654,29.703
268,889.46259313403971,344.21750790463130,4601.983,-1484234.223,785294.479,154.654,29.703
269,893.57230398400861,329.03170505212807,4602.852,-1484235.825,785298.264,154.654,29.284
270,897.40808403952565,313.21956336517746,4602.852,-1484238.239,785301.245,154.654,29.284
271,902.36547819280463,312.80528749179382,4602.369,-1484242.277,785304.120,154.654,30.392
272,905.87642599348885,320.16391046197788,4602.625,-1484244.527,785306.816,154.654,30.272
273,909.38737379426220,326.39432260517782,4602.625,-1484246.776,785309.512,154.654,30.272
274,912.82182443467445,332.62473474776931,4604.160,-1484248.355,785312.562,153.988,30.872
275,916.25627507508636,336.85765659545569,4604.160,-1484249.934,785315.612,153.988,30.872
276,920.12072477602396,349.53075251230490,4604.160,-1484251.186,785319.267,153.988,30.872
277,923.56652997227684,336.54649872889797,4603.763,-1484251.308,785322.711,153.988,30.449
278,925.31403077353013,291.59435669503972,4603.763,-1484252.541,785323.949,153.988,30.449
279,927.83980111831443,274.10231539407562,4603.763,-1484255.066,785323.864,153.988,30.449
280,930.05139220840363,295.66585496313326,4606.119,-1484257.243,785324.253,153.988,30.784
281,933.58464261556730,326.85242341236909,4606.119,-1484259.902,785326.581,153.988,30.784
282,937.34654600374336,352.15069647987116,4605.460,-1484261.032,785330.169,153.988,30.671
283,941.61926328956611,357.86018133586657,4605.460,-1484260.899,785334.439,153.988,30.671
284,945.91039978028539,349.65919156836640,4604.905,-1484261.352,785338.706,153.988,30.671
285,950.84643696885701,339.45747969441669,4604.905,-1484262.598,785343.483,153.988,30.671
286,954.56206579488173,337.25492865352237,4606.440,-1484264.254,785346.809,153.988,30.531
287,959.23795572606275,340.94028484300907,4606.440,-1484265.778,785351.229,153.988,30.531
288,961.93360108231764,340.89738351786986,4606.440,-1484266.660,785353.777,153.988,30.531
289,964.62924643838619,338.48636489633776,4606.245,-1484267.542,785356.324,186.298,30.483
290,967.20382316101200,336.07534627234708,4606.245,-1484268.586,785358.677,186.298,30.483
291,969.77839988353139,337.47797559613093,4606.245,-1484269.630,785361.030,186.298,30.483
292,973.34563254562624,338.88060491835910,4606.052,-1484270.915,785364.358,186.298,30.097
293,976.91286520769643,341.30637837940998,4606.052,-1484272.201,785367.686,186.298,30.097
294,981.62388094723133,338.47887399020522,4607.590,-1484273.520,785372.208,186.298,30.448
295,985.95460204234621,344.71628463573171,4607.590,-1484275.471,785376.075,186.298,30.448
296,990.17876851379356,0.65231456853881,4607.315,-1484275.751,785380.289,186.298,30.234
